utility,monthly,perKwh,startDate,endDate
ONCOR,5.25,0.032860,03/01/2017,08/31/2017
ONCOR,5.25,0.036513,09/01/2017,02/28/2018
ONCOR,5.25,0.034556,03/01/2018,08/31/2018
ONCOR,3.49,0.038271,09/01/2018,02/28/2019
ONCOR,3.42,0.031350,03/01/2019,08/31/2019
ONCOR,3.42,0.038447,09/01/2019,02/29/2020
ONCOR,3.42,0.035448,03/01/2020,08/31/2020
ONCOR,3.42,0.039220,09/01/2020,02/28/2021
ONCOR,3.42,0.034928,03/01/2021,08/31/2021
ONCOR,3.42,0.041543,09/01/2021,02/28/2022
ONCOR,3.42,0.038907,03/01/2022,08/31/2022
ONCOR,3.42,0.044076,09/01/2022,02/28/2023
CNP,5.47,0.035676,03/01/2017,08/31/2017
CNP,5.47,0.040313,09/01/2017,02/28/2018
CNP,5.47,0.041084,03/01/2018,08/31/2018
CNP,5.47,0.042536,09/01/2018,02/28/2019
CNP,5.47,0.036983,03/01/2019,08/31/2019
CNP,5.47,0.040512,09/01/2019,02/29/2020
CNP,5.47,0.034485,03/01/2020,04/22/2020
CNP,5.47,0.037105,04/23/2020,08/31/2020
CNP,4.39,0.042723,09/01/2020,02/28/2021
CNP,4.39,0.033547,03/01/2021,08/31/2021
CNP,4.39,0.046397,09/01/2021,02/28/2022
CNP,4.39,0.039416,03/01/2022,08/31/2022
CNP,4.39,0.049167,09/01/2022,02/28/2023
AEPCC,9.00,0.039606,03/01/2017,08/31/2017
AEPCC,9.00,0.043840,09/01/2017,02/28/2018
AEPCC,9.00,0.040746,03/01/2018,08/31/2018
AEPCC,9.00,0.041602,09/01/2018,02/28/2019
AEPCC,9.00,0.039405,03/01/2019,08/31/2019
AEPCC,9.00,0.044846,09/01/2019,02/29/2020
AEPCC,9.00,0.040861,03/01/2020,08/31/2020
AEPCC,4.27,0.042929,09/01/2020,02/28/2021
AEPCC,4.27,0.037458,03/01/2021,05/31/2021
AEPCC,4.79,0.040272,06/01/2021,08/31/2021
AEPCC,4.79,0.045504,09/01/2021,09/27/2022
AEPCC,5.88,0.045504,09/28/2021,02/28/2022
AEPCC,5.88,0.045196,03/01/2022,08/31/2022
AEPCC,5.88,0.051079,09/01/2022,02/28/2023
AEPNC,10.53,0.037026,03/01/2017,08/31/2017
AEPNC,10.53,0.041177,09/01/2017,02/28/2018
AEPNC,10.53,0.038331,03/01/2018,08/31/2018
AEPNC,10.53,0.038807,09/01/2018,02/28/2019
AEPNC,10.53,0.036596,03/01/2019,08/31/2019
AEPNC,10.53,0.040199,09/01/2019,02/29/2020
AEPNC,10.53,0.038824,03/01/2020,08/31/2020
AEPNC,3.57,0.035325,09/01/2020,02/28/2021
AEPNC,3.57,0.030078,03/01/2021,05/31/2021
AEPNC,4.79,0.036048,06/01/2021,08/31/2021
AEPNC,4.79,0.041426,09/01/2021,09/27/2022
AEPNC,5.88,0.041096,09/28/2021,02/28/2022
AEPNC,5.88,0.041058,03/01/2022,08/31/2022
AEPNC,5.88,0.046985,09/01/2022,02/28/2023
TNMP,8.65,0.032654,03/01/2017,08/31/2017
TNMP,8.65,0.039126,09/01/2017,02/28/2018
TNMP,8.65,0.032779,03/01/2018,08/31/2018
TNMP,8.65,0.036961,09/01/2018,02/28/2019
TNMP,7.85,0.038999,03/01/2019,08/31/2019
TNMP,7.85,0.048321,09/01/2019,02/29/2020
TNMP,7.85,0.041354,03/01/2020,08/31/2020
TNMP,7.85,0.049093,09/01/2020,02/28/2021
TNMP,7.85,0.040403,03/01/2021,08/31/2021
TNMP,7.85,0.051602,09/01/2021,02/28/2022
TNMP,7.85,0.047274,03/01/2022,08/31/2022
TNMP,7.85,0.054741,09/01/2022,02/28/2023
ONCOR,4.23,0.050979,09/01/2023,02/28/2024
CNP,4.39,0.037332,03/01/2023,08/31/2023
AEPCC,4.79,0.042970,03/01/2023,08/31/2023
AEPNC,4.79,0.053153,09/01/2023,02/28/2024
TNMP,7.85,0.045521,03/01/2023,08/31/2023
UGI,0,0.05,,
PECO,0,0.05,,
PTWP,0,0.05,,
CGP,0,0.05,,
NF,0,0.05,,
PNG,0,0.05,,
PGW,0,0.05,,
PPL,0,0.05,,
WPP,0,0.05,,
DUQ,0,0.05,,
PENELEC,0,0.05,,
METED,0,0.05,,
PP,0,0.05,,
VECTREN,0,0.05,,
CGO,0,0.05,,
DAYTON,0,0.05,,
DEO,0,0.05,,
CS,0,0.05,,
CEI,0,0.05,,
OE,0,0.05,,
TE,0,0.05,,
DUKE,0,0.05,,
OP,0,0.05,,
PGIL,0,0.05,,
NSG,0,0.05,,
NICOR,0,0.05,,
MAEIL,0,0.05,,
AMEREN-CILCO,0,0.05,,
AMEREN-CIPS,0,0.05,,
AMEREN,0,0.05,,
AMEREN-IP,0,0.05,,
COMED,0,0.05,,
ONCOR,4.23,0.038498,05/01/2023,08/31/2023
ONCOR,3.42,0.035899,03/01/2023,04/30/2023
CNP,4.39,0.053770,09/01/2023,02/28/2024
AEPNC,4.79,0.039205,03/01/2023,08/31/2023
AEPCC,4.79,0.057144,09/01/2023,02/28/2024
TNMP,7.85,0.060465,09/01/2023,02/28/2024
LUBBOCK,0.00,0.064420,01/01/2024,08/31/2024
ONCOR,4.23,0.045403,03/01/2024,06/30/2024
CNP,4.39,0.038957,03/01/2024,03/31/2024
AEPCC,4.79,0.048787,03/01/2024,04/30/2024
AEPNC,4.79,0.045254,03/01/2024,08/31/2024
TNMP,7.85,0.050383,03/01/2024,08/31/2024
CNP,4.39,0.041960,04/01/2024,04/30/2024
AEPCC,4.79,0.049027,05/01/2024,08/31/2024
CNP,4.39,0.040189,05/01/2024,08/31/2024
ONCOR,4.23,0.046384,07/01/2024,08/31/2024
ONCOR,4.23,0.051893,09/01/2024,01/05/2025
CNP,4.39,0.0535,09/01/2024,02/28/2025
AEPCC,4.79,0.058156,09/01/2024,09/30/2024
AEPNC,4.79,0.054758,09/01/2024,09/30/2024
TNMP,7.85,0.062927,09/01/2024,01/05/2025
AEPCC,3.21,0.0612984,10/01/2024,01/05/2025
AEPNC,3.21,0.0579004,10/01/2024,02/28/2025
ONCOR,4.23,0.052974,01/06/2025,02/28/2025
AEPCC,3.21,0.05877,01/06/2025,02/28/2025
TNMP,7.85,0.064135,01/06/2025,02/28/2025
LUBBOCK,0.00,0.06312,03/01/2025,08/31/2025
ONCOR,4.23,0.050029,03/01/2025,06/30/2025
CNP,4.39,0.042392,03/01/2025,08/31/2025
AEPCC,3.21,0.0523670,03/01/2025,08/31/2025
AEPNC,3.21,0.0513,03/01/2025,08/31/2025
TNMP,7.85,0.057054,03/01/2025,08/31/2025
ONCOR,4.23,0.051248,07/01/2025,08/31/2025
ONCOR,4.23,0.0560320,09/01/2025,12/21/2025
CNP,4.90,0.058104,09/01/2025,09/18/2025
AEPCC,3.21,0.06038,09/01/2025,09/18/2025
AEPNC,3.21,0.05905,09/01/2025,09/18/2025
TNMP,7.85,0.072055,09/01/2025,01/01/2026
LUBBOCK,0.00,0.063120,09/01/2025,08/31/2026
CNP,4.90,0.059027,09/19/2025,01/01/2026
AEPCC,3.24,0.0605630,09/19/2025,12/21/2025
AEPNC,3.24,0.0592330,09/19/2025,02/01/2026
AEPCC,3.24,0.061,12/22/2025,02/01/2026
ONCOR,4.23,0.057059,12/22/2025,01/01/2026
ONCOR,4.23,0.057833,01/02/2026,02/01/2026
CNP,4.90,0.060009,01/02/2026,02/28/2026
TNMP,7.85,0.072370,01/02/2026,02/28/2026
AEPCC,3.24,0.059,02/02/2026,02/28/2026
AEPNC,3.24,0.059,02/02/2026,04/12/2026
ONCOR,4.23,0.055833,02/02/2026,02/28/2026
CNP,4.90,0.049993,03/01/2026,05/31/2026
ONCOR,4.23,0.056183,03/01/2026,05/31/2026
AEPCC,3.24,0.060592,03/01/2026,04/12/2026
TNMP,7.85,0.0646650,03/01/2026,04/12/2026
AEPCC,3.24,0.056,04/13/2026,05/03/2026
